epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,363.134,2.09731,1.9603,2.14954,0.48956,0.30733,0.28746,0.11096,2.02728,2.09925,2.06326,0.000331395,0.000331395,0.0671919
2,798.108,1.99722,1.60762,2.0266,0.19538,0.34811,0.23879,0.09284,2.03955,1.65315,2.07497,0.000658148,0.000658148,0.0341853
3,1436.96,1.98534,1.55983,2.03357,0.46259,0.31876,0.27012,0.10191,2.07562,1.72416,2.10872,0.0009783,0.0009783,0.0011721
4,1920.67,1.94505,1.5548,2.03571,0.44505,0.35274,0.24544,0.10176,2.00123,1.81189,2.0824,0.0009703,0.0009703,0.0009703
5,4125.05,1.91938,1.47828,2.01538,0.45613,0.31146,0.27855,0.11972,2.01905,1.6022,2.0683,0.0009604,0.0009604,0.0009604
6,4902.13,1.9154,1.43738,2.01014,0.42384,0.33095,0.30187,0.12812,2.06938,1.62053,2.15359,0.0009505,0.0009505,0.0009505
7,5434.06,1.92662,1.43222,2.01314,0.53266,0.32915,0.30948,0.12967,2.00783,1.53175,2.06009,0.0009406,0.0009406,0.0009406
8,5737.41,1.89579,1.40397,1.97954,0.84844,0.23793,0.33157,0.12591,2.11363,1.5925,2.17234,0.0009307,0.0009307,0.0009307
9,6156.26,1.89449,1.3996,1.97507,0.2957,0.44114,0.3237,0.12053,2.05728,1.59476,2.14852,0.0009208,0.0009208,0.0009208
10,6930.03,1.86999,1.34257,1.95212,0.5727,0.37405,0.34639,0.15015,1.99461,1.52967,2.04977,0.0009109,0.0009109,0.0009109
11,7470.01,1.86017,1.32724,1.96316,0.39637,0.36456,0.35651,0.1456,1.99542,1.48629,2.07785,0.000901,0.000901,0.000901
12,7915.74,1.85782,1.3127,1.94727,0.45591,0.26998,0.27349,0.10171,2.15266,1.60009,2.20574,0.0008911,0.0008911,0.0008911
13,8393.87,1.84304,1.28363,1.95544,0.66608,0.30013,0.34658,0.14534,2.0435,1.61769,2.08154,0.0008812,0.0008812,0.0008812
14,8837.94,1.84237,1.28229,1.93233,0.55798,0.42302,0.38481,0.15787,2.01162,1.49626,2.09786,0.0008713,0.0008713,0.0008713
15,9294.83,1.83503,1.26594,1.92856,0.48593,0.38505,0.34542,0.13828,2.01716,1.46845,2.09213,0.0008614,0.0008614,0.0008614
16,9866.84,1.8486,1.24679,1.93317,0.47989,0.44854,0.33211,0.13024,2.04316,1.50827,2.09286,0.0008515,0.0008515,0.0008515
17,10335.7,1.81231,1.24504,1.91784,0.72472,0.39925,0.40002,0.16769,1.99634,1.51553,2.0632,0.0008416,0.0008416,0.0008416
18,10981.5,1.81218,1.2219,1.91732,0.67372,0.41579,0.3689,0.151,1.99709,1.45788,2.08028,0.0008317,0.0008317,0.0008317
19,11492.8,1.7944,1.20872,1.89935,0.43268,0.39259,0.35522,0.13716,2.04407,1.51566,2.0961,0.0008218,0.0008218,0.0008218
20,12087.7,1.81217,1.18893,1.91248,0.48252,0.43672,0.32357,0.11673,2.02585,1.46475,2.0965,0.0008119,0.0008119,0.0008119
21,12438.3,1.80298,1.21354,1.90459,0.77465,0.39438,0.41819,0.17704,1.99083,1.50618,2.06777,0.000802,0.000802,0.000802
22,12962.3,1.77219,1.16091,1.89459,0.7143,0.38087,0.37758,0.15335,1.97631,1.45449,2.0443,0.0007921,0.0007921,0.0007921
23,13478.3,1.77794,1.13089,1.86073,0.74301,0.32613,0.37351,0.14563,2.0947,1.49813,2.12928,0.0007822,0.0007822,0.0007822
24,14056.5,1.78274,1.13131,1.8808,0.69896,0.33296,0.36854,0.1538,2.0247,1.40569,2.07771,0.0007723,0.0007723,0.0007723
25,14469.8,1.75726,1.1386,1.85483,0.35746,0.44798,0.34603,0.12754,2.06657,1.45752,2.10775,0.0007624,0.0007624,0.0007624
26,14979.3,1.75462,1.1277,1.8596,0.38117,0.36197,0.34441,0.14491,2.00068,1.42745,2.03699,0.0007525,0.0007525,0.0007525
27,15754.7,1.74739,1.09836,1.85359,0.46691,0.39926,0.39223,0.14914,2.03271,1.48054,2.0841,0.0007426,0.0007426,0.0007426
28,16551,1.74469,1.10474,1.83841,0.63645,0.3171,0.32497,0.13324,2.00488,1.4365,2.07366,0.0007327,0.0007327,0.0007327
29,16941.7,1.72811,1.08822,1.83377,0.47698,0.40777,0.32384,0.12562,2.12139,1.47142,2.18977,0.0007228,0.0007228,0.0007228
30,17445.2,1.73356,1.06966,1.83417,0.52546,0.35553,0.35363,0.13855,2.06565,1.4354,2.1066,0.0007129,0.0007129,0.0007129
31,17933,1.72022,1.05566,1.82521,0.45913,0.38374,0.30383,0.12533,2.09061,1.39232,2.12685,0.000703,0.000703,0.000703
32,18418.6,1.71302,1.04891,1.80906,0.43208,0.35455,0.40563,0.16854,2.0467,1.39266,2.09084,0.0006931,0.0006931,0.0006931
33,18899.5,1.7001,1.02645,1.79804,0.49806,0.41872,0.32002,0.13093,2.03602,1.4086,2.08449,0.0006832,0.0006832,0.0006832
34,19481.9,1.70486,1.02453,1.81208,0.50631,0.45847,0.34292,0.13449,2.0164,1.38802,2.06065,0.0006733,0.0006733,0.0006733
35,19928.1,1.70449,1.0328,1.80495,0.46078,0.39503,0.30594,0.11775,2.15862,1.39036,2.18049,0.0006634,0.0006634,0.0006634
36,20467,1.68128,0.99788,1.78509,0.41512,0.37399,0.30889,0.1152,2.09252,1.40867,2.13512,0.0006535,0.0006535,0.0006535
37,21019.4,1.66502,0.99589,1.77947,0.4263,0.31733,0.24898,0.0951,2.09682,1.49043,2.1825,0.0006436,0.0006436,0.0006436
38,21551.9,1.66066,0.99839,1.78704,0.32727,0.4634,0.31979,0.13282,2.0818,1.40296,2.12243,0.0006337,0.0006337,0.0006337
39,22229,1.64491,0.9666,1.76263,0.50151,0.38436,0.3852,0.14577,2.08055,1.3755,2.13816,0.0006238,0.0006238,0.0006238
40,23335.4,1.64063,0.95433,1.75235,0.36094,0.48198,0.3953,0.15489,2.07744,1.37012,2.1229,0.0006139,0.0006139,0.0006139
41,24084.9,1.64286,0.95695,1.74756,0.67472,0.33295,0.32023,0.1226,2.10401,1.37561,2.16665,0.000604,0.000604,0.000604
