video_id,track_id,num_frames,VCL,VSL,VAP
TA280380 (1)_SESSIOE 011225,0,28,0.9529,0.8986,0.8701
TA280380 (1)_SESSIOE 011225,1,2,1.8618,1.8618,1.8618
TA280380 (1)_SESSIOE 011225,3,12,1.6717,1.5886,1.5243
TA280380 (1)_SESSIOE 011225,5,11,2.4101,2.3948,2.2276
TA280380 (1)_SESSIOE 011225,7,7,2.1903,2.1737,1.869
TA280380 (1)_SESSIOE 011225,9,3,2.7229,2.7216,1.3609
TA280380 (1)_SESSIOE 011225,10,5,1.3453,1.3189,0.9284
TA280380 (1)_SESSIOE 011225,11,6,1.9835,1.9723,1.5404
TA280380 (1)_SESSIOE 011225,13,4,1.9803,1.9602,1.3609
TA280380 (1)_SESSIOE 011225,15,4,2.0832,2.0702,1.4069
TA280380 (1)_SESSIOE 011225,16,3,1.7346,1.1516,0.6103
TA280380 (1)_SESSIOE 011225,20,2,1.2378,1.2378,1.2378
TA280380 (1)_SESSIOE 011225,25,3,0.1483,0.1458,0.073
TA280380 (1)_SESSIOE 011225,29,2,1.427,1.427,1.427
TA280380 (1)_SESSIOE 011225,31,7,2.5343,2.4332,1.9888
TA280380 (1)_SESSIOE 011225,32,2,2.129,2.129,2.129
TA280380 (1)_SESSIOE 011225,33,4,1.4465,1.4387,0.9444
TA280380 (1)_SESSIOE 011225,34,7,2.0869,2.0854,1.7911
TA280380 (1)_SESSIOE 011225,35,2,1.1628,1.1628,1.1628
TA280380 (1)_SESSIOE 011225,40,13,1.8558,1.8384,1.7409
TA280380 (1)_SESSIOE 011225,41,2,1.8832,1.8832,1.8832
TA280380 (1)_SESSIOE 011225,43,2,2.5831,2.5831,2.5831
TA280380 (1)_SESSIOE 011225,46,2,0.5033,0.5033,0.5033
TA280380 (1)_SESSIOE 011225,50,17,1.7136,1.6933,1.5891
TA280380 (1)_SESSIOE 011225,51,5,1.0681,1.066,0.7965
TA280380 (1)_SESSIOE 011225,52,5,1.4832,1.4727,1.127
TA280380 (1)_SESSIOE 011225,55,2,1.287,1.287,1.287
TA280380 (1)_SESSIOE 011225,58,2,1.5162,1.5162,1.5162
TA280380 (1)_SESSIOE 011225,59,5,1.2373,0.6605,0.5021
TA280380 (1)_SESSIOE 011225,65,17,1.049,1.0145,0.9466
TA280380 (1)_SESSIOE 011225,66,2,1.2789,1.2789,1.2789
TA280380 (1)_SESSIOE 011225,67,16,1.6925,1.6088,1.5376
TA280380 (1)_SESSIOE 011225,69,6,1.0269,0.8736,0.6401
TA280380 (1)_SESSIOE 011225,70,5,1.9233,1.9136,1.471
TA280380 (1)_SESSIOE 011225,72,2,1.1649,1.1649,1.1649
TA280380 (1)_SESSIOE 011225,73,4,1.9544,1.9509,1.2758
TA280380 (1)_SESSIOE 011225,74,11,0.1779,0.0174,0.0552
TA280380 (1)_SESSIOE 011225,75,8,0.4002,0.234,0.2858
TA280380 (1)_SESSIOE 011225,76,14,1.3223,1.2279,1.1333
TA280380 (1)_SESSIOE 011225,77,14,1.4545,1.4231,1.3008
TA280380 (1)_SESSIOE 011225,78,6,1.3315,1.3309,1.1169
TA280380 (1)_SESSIOE 011225,79,13,1.5815,1.5241,1.4469
TA280380 (1)_SESSIOE 011225,80,3,1.7564,1.7552,0.8777
TA280380 (1)_SESSIOE 011225,82,4,1.2303,1.1856,0.7535
TA280380 (1)_SESSIOE 011225,83,7,0.8547,0.7873,0.5449
TA280380 (1)_SESSIOE 011225,84,4,1.5047,1.3629,0.9463
TA280380 (1)_SESSIOE 011225,86,8,1.5214,1.4964,1.3152
TA280380 (1)_SESSIOE 011225,87,2,0.4155,0.4155,0.4155
TA280380 (1)_SESSIOE 011225,88,2,1.1668,1.1668,1.1668
TA280380 (1)_SESSIOE 011225,90,3,0.8196,0.5703,0.3012
TA280380 (1)_SESSIOE 011225,91,2,0.6261,0.6261,0.6261
TA280380 (1)_SESSIOE 011225,92,2,1.2816,1.2816,1.2816
TA280380 (1)_SESSIOE 011225,93,2,0.7198,0.7198,0.7198
TA280380 (1)_SESSIOE 011225,94,4,1.5373,0.2062,0.3724
TA280380 (1)_SESSIOE 011225,96,5,1.0253,0.9277,0.7772
TA280380 (1)_SESSIOE 011225,99,7,1.6872,0.6796,0.6625
TA280380 (1)_SESSIOE 011225,101,4,1.2438,1.1891,0.7901
